1001 312 608 1077 
297 274 221 138 102 
45 2 90 67 68 
111 216 164 275 136 
2245 2246 2238 446 2243 
111 295 376 216 164 
274 641 100 221 297 
161 185 192 193 42 
17 15 46 45 47 
33 1 47 45 15 
51 201 72 109 575 
63 734 28 109 80 
70 98 181 117 18 
164 101 323 216 111 
48 15 1 33 47 
641 221 100 274 102 
33 1 47 45 15 
10 118 36 70 98 
457 1071 848 418 1046 
217 287 133 148 270 
239 173 237 11 245 
118 36 24 68 117 
812 579 853 420 824 
100 274 221 102 297 
1299 889 898 866 897 
165 180 277 292 296 
51 182 462 481 28 
