356 2647
4 1001 312 608 1077
5 33 45 46 15 32
5 17 46 15 45 47
5 328 376 111 101 323
5 3 51 109 447 999
5 31 2 98 57 117
5 288 445 358 456 515
5 63 182 72 461 28
5 1172 426 284 439 644
5 109 72 420 28 80
5 55 128 54 40 95
5 395 428 247 235 143
5 46 49 45 32 15
5 499 1933 1934 1938 1568
5 1468 1461 1419 1434 1420
2 17 470
5 32 46 1 135 33
5 46 49 32 48 47
5 200 23 248 4 262
5 175 233 266 130 461
5 537 19 456 445 358
5 713 732 721 289 746
5 2526 2527 2456 2531 2456
5 133 99 148 73 27
5 277 180 296 236 322
5 192 161 148 1380 133
5 521 752 826 887 934
5 104 274 100 297 221
5 97 181 70 98 117
5 541 171 252 391 33
5 24 21 82 59 36
5 99 133 27 119 73
5 62 88 93 87 110
5 102 100 297 641 221
5 30 109 51 220 28
5 478 501 503 1481 1488
5 345 534 188 30 448
5 274 297 100 522 313
5 90 67 8 50 30
5 345 2301 446 2300 28
5 179 224 219 641 221
5 2503 124 222 121 225
5 15 49 32 46 33
5 86 221 100 274 102
5 132 505 9 5 115
5 662 102 297 641 274
5 815 1120 1111 1127 1122
5 167 253 121 225 192
5 210 291 278 475 285
5 4 3 63 112 109
5 297 454 313 507 115
5 28 109 80 461 182
5 8 31 97 138 139
5 1262 872 1506 1169 1666
5 471 131 113 18 324
5 182 447 999 28 958
5 242 314 9 115 17
5 180 277 236 292 322
5 150 507 293 241 132
5 312 458 2646 575 450
5 45 33 48 1 15
5 77 237 246 11 245
5 1098 1119 1131 1124 365
5 48 1 45 32 47
5 1479 1487 538 521 1494
5 968 979 971 992 986
5 510 338 199 211 23
5 100 86 313 102 297
5 89 127 298 461 420
5 192 185 719 98 133
5 101 129 275 323 111
5 221 100 86 274 102
5 138 221 100 102 297
5 68 46 31 118 135
5 337 522 100 313 297
5 494 7 338 248 175
5 328 376 323 101 111
5 80 72 461 298 420
5 275 111 101 136 164
5 98 99 148 72 119
5 908 894 860 931 941
5 84 731 17 1554 726
5 467 30 343 543 226
5 72 330 182 28 80
5 251 265 378 1592 188
5 303 291 278 475 33
5 297 708 766 1262 1506
5 33 17 70 118 117
5 264 376 275 136 164
5 721 1133 1098 564 1131
5 274 221 100 102 197
5 164 136 101 111 323
5 216 101 275 323 376
5 183 156 249 289 196
5 454 507 505 242 115
5 220 209 737 447 999
5 233 232 262 200 4
5 17 470 1 47 470
5 97 98 70 181 117
5 254 151 193 161 192
5 48 45 15 33 1
5 2317 2335 2339 2316 2307
5 166 73 225 161 192
5 133 27 73 140 119
5 740 742 743 755 616
5 297 274 221 138 102
5 45 2 90 67 68
5 111 216 164 275 136
5 2245 2246 2238 446 2243
5 111 295 376 216 164
5 274 641 100 221 297
5 161 185 192 193 42
5 17 15 46 45 47
5 33 1 47 45 15
5 51 201 72 109 575
5 63 734 28 109 80
5 70 98 181 117 18
5 164 101 323 216 111
5 48 15 1 33 47
5 641 221 100 274 102
5 33 1 47 45 15
5 10 118 36 70 98
5 457 1071 848 418 1046
5 217 287 133 148 270
5 239 173 237 11 245
5 118 36 24 68 117
5 812 579 853 420 824
5 100 274 221 102 297
5 1299 889 898 866 897
5 165 180 277 292 296
5 51 182 462 481 28
